epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,38730.6,1.08871,0.54046,1.04252,0.84543,0.83041,0.87282,0.55419,0.75838,0.48899,0.94134,0.002278,0.002278,0.002278
158,38974.7,1.08586,0.54929,1.04045,0.84611,0.83066,0.87304,0.55426,0.75806,0.48908,0.94119,0.0022285,0.0022285,0.0022285
159,39221.1,1.08266,0.54613,1.03815,0.8444,0.83177,0.87316,0.55425,0.75812,0.4892,0.94104,0.002179,0.002179,0.002179
160,39470.1,1.08347,0.541,1.03536,0.84513,0.83256,0.87284,0.55425,0.75784,0.48872,0.94083,0.0021295,0.0021295,0.0021295
161,39718.6,1.0852,0.54158,1.04104,0.84391,0.83373,0.87291,0.55462,0.75755,0.48856,0.94067,0.00208,0.00208,0.00208
162,39965.5,1.07296,0.54113,1.03708,0.844,0.83184,0.87263,0.55449,0.75729,0.48952,0.94052,0.0020305,0.0020305,0.0020305
163,40210.8,1.07661,0.53786,1.0379,0.84311,0.83294,0.87297,0.55432,0.75742,0.48927,0.94055,0.001981,0.001981,0.001981
164,40460.7,1.07681,0.53634,1.03374,0.84297,0.83354,0.87298,0.55429,0.75705,0.48918,0.94054,0.0019315,0.0019315,0.0019315
165,40709,1.07274,0.54146,1.0376,0.84332,0.83354,0.87322,0.55472,0.75685,0.48913,0.94044,0.001882,0.001882,0.001882
166,40952.3,1.06333,0.53355,1.03646,0.84521,0.83396,0.87396,0.55489,0.75664,0.48878,0.94033,0.0018325,0.0018325,0.0018325
167,41196.4,1.07634,0.54104,1.03598,0.84553,0.83342,0.87428,0.55465,0.75658,0.48928,0.94032,0.001783,0.001783,0.001783
168,41447.7,1.07469,0.53499,1.03841,0.8453,0.83406,0.8744,0.55491,0.75648,0.48926,0.94028,0.0017335,0.0017335,0.0017335
169,41693.3,1.08062,0.53671,1.0455,0.84623,0.83258,0.87438,0.555,0.75639,0.4897,0.9403,0.001684,0.001684,0.001684
170,41940.6,1.0626,0.53383,1.03851,0.84516,0.83354,0.87434,0.55491,0.75612,0.48966,0.94028,0.0016345,0.0016345,0.0016345
171,42187.9,1.08395,0.54501,1.03724,0.84625,0.83238,0.87421,0.55487,0.75615,0.48923,0.94026,0.001585,0.001585,0.001585
172,42437.9,1.08252,0.53513,1.03607,0.84525,0.83436,0.87433,0.55487,0.75602,0.48946,0.94027,0.0015355,0.0015355,0.0015355
